,amount_spent,spend_per_arrival,quarterly_arrivals
count,5434.0,5434.0,5434.0
mean,10986980.30916452,2240.6780226761566,110436.64078027236
std,39606550.535507604,10397.245829757543,441216.12613529473
min,0.0,0.0,20.0
25%,246000.0,102.31336750682895,235.0
50%,981500.0,327.9608666996029,4025.0
75%,5250000.0,1318.1715063520871,30809.0
max,625101000.0,433093.3333333333,4855171.0
