year,quarter,province,origin,total_spend,quarterly_arrivals,spend_per_arrival,period,covid_period,low_reliability
2019,4,Saskatchewan,United Kingdom,7119000.0,624.0,11408.653846153846,2019-Q4,False,False
2019,4,British Columbia,United States,1280510976.0,6798372.0,188.35553217740954,2019-Q4,False,False
2020,1,Quebec,Japan,11067000.0,10578.0,1046.228020419739,2020-Q1,True,False
2020,1,Ontario,India,39621000.0,142944.0,277.17847548690395,2020-Q1,True,False
2020,1,British Columbia,China,224916000.0,239952.0,937.3374674934987,2020-Q1,True,False
2018,1,Nova Scotia,United Kingdom,6039000.0,3810.0,1585.0393700787401,2018-Q1,False,False
2018,1,Manitoba,Japan,4665000.0,360.0,12958.333333333334,2018-Q1,False,False
2018,1,Nunavut,United States,4368000.0,432.0,10111.111111111111,2018-Q1,False,True
2018,3,Quebec,India,39168000.0,18936.0,2068.4410646387832,2018-Q3,False,False
2018,3,Manitoba,United States,194754000.0,768882.0,253.29504397293732,2018-Q3,False,False
2019,1,Manitoba,Germany,5100000.0,696.0,7327.586206896552,2019-Q1,False,False
2019,2,Newfoundland and Labrador,United Kingdom,10701000.0,4614.0,2319.2457737321197,2019-Q2,False,False
2019,3,Newfoundland and Labrador,Germany,12714000.0,56568.0,224.75604582095883,2019-Q3,False,False
2019,3,Newfoundland and Labrador,Australia,9552000.0,13164.0,725.6153144940747,2019-Q3,False,False
2019,3,Yukon,India,2898000.0,5200.0,557.3076923076923,2019-Q3,False,True
2020,3,British Columbia,United States,173826000.0,494370.0,351.61114145275803,2020-Q3,True,False
2021,1,Nova Scotia,United States,6246000.0,204.0,30617.647058823528,2021-Q1,True,False
2022,1,Saskatchewan,United States,13281000.0,18126.0,732.7044025157232,2022-Q1,True,False
2022,3,New Brunswick,United States,260412000.0,1257078.0,207.1565964880461,2022-Q3,True,False
2019,1,Nova Scotia,United Kingdom,9138000.0,5358.0,1705.4871220604703,2019-Q1,False,False
2019,1,British Columbia,United States,1291425000.0,6076740.0,212.51937716604627,2019-Q1,False,False
2020,1,British Columbia,India,16083000.0,56298.0,285.6762229564105,2020-Q1,True,False
2020,3,Saskatchewan,United States,10398000.0,27360.0,380.0438596491228,2020-Q3,True,False
2018,2,Nova Scotia,Germany,20979000.0,24366.0,860.9948288598868,2018-Q2,False,False
2018,2,New Brunswick,United Kingdom,8460000.0,3000.0,2820.0,2018-Q2,False,False
2018,4,Quebec,France,280533000.0,544218.0,515.4790910995226,2018-Q4,False,False
2019,2,Nova Scotia,Japan,5550000.0,582.0,9536.082474226803,2019-Q2,False,False
2019,2,Yukon,Australia,6183000.0,31500.0,196.28571428571428,2019-Q2,False,True
2020,1,Quebec,India,13560000.0,9954.0,1362.2664255575648,2020-Q1,True,False
2023,4,British Columbia,United States,1864257024.0,6632856.0,281.0639977710959,2023-Q4,False,False
2018,1,Saskatchewan,Australia,3564000.0,120.0,29700.0,2018-Q1,False,False
2018,2,Manitoba,Mexico,6546000.0,1038.0,6306.358381502891,2018-Q2,False,False
2019,1,Saskatchewan,Japan,3642000.0,174.0,20931.03448275862,2019-Q1,False,False
2019,2,Quebec,Japan,30603000.0,30132.0,1015.6312226204699,2019-Q2,False,False
2019,2,Alberta,Japan,43365000.0,22560.0,1922.2074468085107,2019-Q2,False,False
2020,1,Manitoba,Germany,3435000.0,1230.0,2792.682926829268,2020-Q1,True,False
