province,origin,low_reliability,pre_covid_spend,pre_covid_spa,post_covid_spend,post_covid_spa,spa_absolute_change,spa_pct_change,spend_absolute_change,spend_pct_change
Prince Edward Island,United States,True,733281000.0,145319.2627824019,328740000.0,7701.714928310374,-137617.54785409154,-94.7,-404541000.0,-55.17
Quebec,Australia,False,392934000.0,1789.5614154939199,,,,,,
Quebec,China,False,1032114000.0,1504.8859649890207,,,,,,
Quebec,France,False,3654978000.0,647.4313736326804,,,,,,
Quebec,Germany,False,666327000.0,817.3163964467865,,,,,,
Quebec,India,False,233832000.0,1636.3101985976402,,,,,,
Quebec,Japan,False,254322000.0,975.7821312645319,,,,,,
Quebec,Mexico,False,822330000.0,791.8684061521395,,,,,,
Quebec,Overseas,False,3928367000.0,inf,2042238008.0,inf,,,-1886128992.0,-48.01
Quebec,United Kingdom,False,760122000.0,871.6475623013307,,,,,,
Quebec,United States,False,10553976024.0,331.1296883006476,6199104024.0,432.0884615706316,100.95877326998396,30.49,-4354872000.0,-41.26
Saskatchewan,Australia,False,63078000.0,16820.8,,,,,,
Saskatchewan,China,False,124509000.0,59630.747126436785,,,,,,
Saskatchewan,France,False,53151000.0,43424.01960784314,,,,,,
Saskatchewan,Germany,False,50694000.0,16898.0,,,,,,
Saskatchewan,India,False,39081000.0,21216.612377850164,,,,,,
Saskatchewan,Japan,False,29985000.0,27308.743169398906,,,,,,
Saskatchewan,Mexico,False,38412000.0,8916.434540389972,,,,,,
Saskatchewan,Overseas,False,223345000.0,inf,57396000.0,inf,,,-165949000.0,-74.3
Saskatchewan,United Kingdom,False,91833000.0,14317.586529466791,,,,,,
Saskatchewan,United States,False,711231000.0,500.4010350926813,287565000.0,545.1014512533552,44.70041616067391,8.93,-423666000.0,-59.57
Yukon,Australia,True,55659000.0,447.16799228729815,,,,,,
Yukon,China,True,40056000.0,1203.7504507753335,,,,,,
Yukon,France,True,41880000.0,2240.2910024606826,,,,,,
Yukon,Germany,True,77487000.0,565.309695775881,,,,,,
Yukon,India,True,16728000.0,790.0255029753471,,,,,,
Yukon,Japan,True,39531000.0,4690.436639772188,,,,,,
Yukon,Mexico,True,45381000.0,2142.3311145730067,,,,,,
Yukon,Overseas,True,169382000.0,inf,,,,,,
Yukon,United Kingdom,True,64800000.0,803.6312225612024,,,,,,
Yukon,United States,True,1030056000.0,242.10509986644988,,,,,,
